abbreviate	v.缩写；缩短；缩写为；简称
cronyism	n.任人唯亲；任用亲信
bromide	n.溴化物（旧时尤用作镇静剂）
demanding	adj.要求高的；需要高技能（或耐性等）的；费力的；要求极严的v.“demand”的现在分词
seminal	adj.（对以后的发展）影响深远的；精液的；含精液的
gratuitous	adj.无正当理由（或目的）的；无谓的
entropy	n.无序状态测量法；熵（物资系统的不能用来做功的能量的度量）
blandish	v.谄媚
redress	v.纠正；矫正；改正n.赔款；损失赔偿
novice	n.新手；初学者；初学修士（或修女）；（修会等的）初学生
puncture	n.刺伤；（轮胎上刺破的）小孔；（尤指皮肤上被刺破的）扎孔v.在…上扎孔（或穿孔）；（被）刺破；使突然泄气；挫伤（锐气等）
vicissitude	n.变迁；人生的沉浮；兴衰枯荣
apotheosis	n.神化；鼎盛时期；发展顶峰；完美阶段
spate	n.一连串
boisterous	adj.热闹的；充满活力的；活蹦乱跳的
incorrigible	adj.无法改正的；屡教不改的n.不改悔的人
allegiance	n.效忠
counterweight	n.砝码；抗衡；平衡重量v.同“counterweigh”
redeem	v.赎回；救赎；兑换；兑现
ad hoc	adj.临时安排的；特别的；专门的
shoddy	adj.做工粗糙的；粗制滥造的；劣质的；奸诈的n.(拿旧货重制的)翻造呢绒；回纺绒线；冒充物；不值钱的东西
anatomize	v.解剖；分析
verbatim	adj.一字不差的（地）；逐字的（地）adv.逐字(的)n.逐字报告
philistine	adj.市侩的；没有文化教养的；实利主义的；腓力斯人的n.对文化艺术无知的人；文化修养低的人
symptomatic	adj.作为症状的；（有）症状的；作为征候的
desultory	adj.漫无目的的；无条理的；随意的
disinterested	adj.客观的；无私的；公正的；无兴趣的
sonorous	adj.雄浑的；浑厚的
mercifully	adv.仁慈地；（不幸中）幸运地；宽大地
posit	v.假设；认定；认为…为实n.安置；论断
murky	adj.浑浊的；污浊的；昏暗的；阴暗的
epistle	n.宗徒书信（《圣经 ) 新约》书卷）
interlace	v.（使）编结
dour	adj.冷酷的；严厉的；令人不快的；无生气的
discrepancy	n.差异；不符合；不一致
claustrophobic	adj.引起幽闭恐怖的；患幽闭恐怖症的n.幽闭恐怖症患者
vengeful	adj.心存报复的；图谋复仇的
dejected	adj.沮丧的；情绪低落的；垂头丧气的
belabor	v.猛烈攻击；狠狠责备；啰啰嗦嗦地说明；〈古〉痛打
sequester	n.【化】螯合剂v.隔离（避免陪审团与公众接触）
fawn	v.讨好；巴结；恭维n.浅黄褐色；（不足一岁的）幼鹿adj.浅黄褐色的
level	n.水平；级别；层次；程度v.对准；使平坦；使平整；夷平（建筑物或树林）adj.平的；平坦的；等高的；地位相同的adv.准确；平坦地；和…成水平；势均力敌地
nugatory	adj.无目的的；无价值的
patriotism	n.爱国主义；爱国精神
fortitude	n.刚毅
sovereignty	n.主权；最高统治权；最高权威；独立自主
aloof	adj.冷淡；冷漠adv.离开；【航】向上风方向
forensic	adj.法医的；法庭的；与法庭有关的；用于法庭的n.辩论练习；辩论术
cohesive	adj.结成一个整体的；使结合的；使凝结的；使内聚的
genial	adj.友好的；亲切的；欢快的
overreach	v.贪功致败；不自量力
croon	n.低唱[哼]；单调的哼歌曲声；低声哼的感伤性流行歌曲v.低声哼唱
addiction	n.瘾；嗜好；入迷
raillery	n.善意的玩笑；戏谑；逗趣
opulent	adj.豪华的；富丽堂皇的；华丽的；极富有的
vehement	adj.（感情）强烈的；（尤指）愤怒的
purge	v.清除；净化（心灵、风气等）；涤荡（污秽）n.清除
foreboding	n.（对不祥或危险事情的）强烈预感
beholden	adj.感谢；欠人情
avarice	n.贪得无厌
devious	adj.不诚实的；不直率的；欺诈的；迂回的（路线）
whine	v.哭哭啼啼；哀鸣；哭嚷；惨叫n.嘎吱声；吱吱声；嘎嘎声；（儿童发出的）哭喊声
placid	adj.温和的；平和的；文静的；平静的
reproach	v.责备；自责；指责；批评n.责备；羞耻；批评；责备的话语
rattle	n.拨浪鼓；一连串短促尖厉的撞击声；咔嗒声v.（使）发出咔嗒咔嗒的声音；（运行时）发出连续短促的高声；使紧张
ersatz	adj.代用的n.[德语]代用品
shirk	n.逃避者；偷懒者v.逃避（工作）；躲懒
adumbration	n.勾画；草图；阴影；预示
override	v.凌驾；（以权力）否决；比…更重要；超驰控制
prevail	v.流行；盛行；战胜；压倒
discard	v.丢弃；抛弃；垫（牌）；打出（无用的牌）n.被抛弃的人（或物）；（尤指纸牌游戏中）垫出的牌
foreknowledge	n.预知；事先知道
agenda	n.议事日程
demagogue	n.蛊惑民心的政客
gauge	n.厚度；标准；测量仪器（或仪表）；计量器v.估计；判定；估算；（用仪器）测量
effrontery	n.厚颜无耻的行为；傲慢鲁莽的举止
quintessence	n.精髓；精华；典范；范例
cherub	n.小天使（常被绘为有翅膀的胖男孩）；可爱的小孩；乖小孩
vernal	adj.春季的
mushroom	n.蘑菇；蕈；伞菌adj.蘑菇形的；雨后蘑菇似的；蘑菇一般短命的v.快速生长；迅速增长；采蘑菇
sabotage	n.人为破坏；故意妨碍；捣乱；刻意阻碍v.蓄意破坏（以防止敌方利用或表示抗议）；刻意阻碍；妨碍；捣乱
vaunted	adj.被吹嘘的；被夸耀的v.“vaunt”的过去式和过去分词
culmination	n.顶点；巅峰；高潮；终点
plucky	adj.勇敢的；有胆量的；刚毅的
mesmerize	v.迷住；吸引
proselytize	v.使（在宗教、政治等方面）归附
superlative	adj.极佳的；卓越的；最优秀的；（形容词或副词）最高级的n.（形容词或副词的）最高级
delegate	n.代表；会议代表v.授（权）；把（工作、权力等）委托（给下级）；选派（某人做某事）
nurture	v.培养；养育；养护；支持n.培养；养育
canned	adj.罐装的；听装的；（电视和电台节目中）预先录制的笑声（或音乐）v.“can”的过去式和过去分词
felony	n.重罪；重刑罪
negligence	n.过失；疏忽；失职；失误
factitious	adj.人为的；虚假的
splinter	v.分裂；（使）裂成碎片；分离出来n.（木头、金属、玻璃等的）尖碎片
skew	n.斜交；扭曲；【建】斜砌石；【机】歪轮adj.歪的；弯曲的；误用的；曲解的v.歪曲；曲解；使不公允；影响…的准确性
apocryphal	adj.流传甚广但不足为凭的；虚构的
overarching	adj.非常重要的；首要的；概莫能外的
dismal	n.〈口〉忧郁；〈美〉沼地adj.忧郁的；凄凉的；惨淡的；阴沉的
synchronize	v.（使）同步
boast	n.夸耀；夸口v.自夸；自吹自擂；有（值得自豪的东西）
befit	v.适合；对…相称
bravado	n.逞能；逞强；（有时）虚张声势
demystify	v.使…非神秘化
palate	n.腭；味觉；上腭；品尝力
lofty	adj.巍峨的；高耸的；崇高的；高尚的
symbiosis	n.共生（关系）；合作关系；互惠互利的关系
malefactor	n.犯罪分子；作恶的人；道德败坏的人
nomad	n.牧民；流浪汉
predominant	adj.显著的；明显的；盛行的；占优势的n.【生】特优生物
genteel	adj.显得彬彬有礼的；假斯文的；上流社会的；装体面的
contrarian	n.（股市中）逆市交易者;adj.违反民意的
desiccation	n.干化；〔生〕干燥；干涸；烘干
numinous	adj.超自然的；精神上的；神圣的
mainstream	n.主流；干流；(河流的)主流v.使…成为主流；将(残障儿童等)纳入正规班级adj.主流的
prophetic	adj.正确预言的；有预见的；预言家的；像预言家的
unworldly	adj.不慕金钱的；对钱财无兴趣的；不谙世故的；天真的
conscience	n.良心；良知；内疚；愧疚
anarchy	n.无政府状态；混乱；无法无天
transcribe	v.记录；抄录；把…转成（另一种书写形式）；用音标标音
recant	v.公开宣布放弃（原先的信仰、观点等）
antic	adj.滑稽的；古怪的n.滑稽动作；〈古〉小丑v.做滑稽动作
marketable	adj.容易出售的；畅销的；有销路的
abound	v.大量存在；有许多
panache	n.神气十足；潇洒气质
hectic	n.肺病热；肺病热患者；【医】潮红adj.忙碌的；繁忙的
strip	n.带；（陆地、海域等）狭长地带；带状水域；队服v.夺；脱掉大部分衣服；扒光…的衣服；进行脱衣表演adj.脱衣舞的；被剥去外皮的
myopic	adj.近视眼的；缺乏远见的
sleazy	adj.（尤指涉及性行为）肮脏的；不正派的；道德败坏的；堕落的
penchant	n.爱好；嗜爱
grotesque	adj.怪诞的；荒唐的；荒谬的；丑陋奇异的n.（尤指书画中的）奇形怪状的人；奇异艺术风格
consternation	n.惊愕；惊恐
verse	n.诗；韵文；诗节；歌曲的段落v.作诗；用诗表现；(把…)写成诗
sanctimonious	adj.装作圣洁的；伪善的；道貌岸然的
cachet	n.威信；声望
dysfunctional	adj.机能失调的；功能障碍的
stodgy	adj.吃下去感觉撑的；易饱的；滞涩的；古板的
deft	adj.熟练的；灵巧的；机敏的；有技巧的
recipe	n.食谱；方法；诀窍；烹饪法
fidget	v.坐立不安；烦躁n.坐立不安的人
designation	n.名称；指定；称号；选定
churlish	adj.粗鲁无礼的；粗野的；脾气坏的
effluvia	n.恶臭；臭液；【物】磁素；【无线】无声放电
balk	n.障碍；失败；过失；田埂v.畏缩不前；使受挫折；阻碍；避免
immerse	v.使浸没于；（使）深陷于
arbiter	n.仲裁人；公断人；裁决人；决定者
lineage	n.世系；血统；宗系；家系
soothsayer	n.占卜者；预言者
forage	n.牧草；饲料；粮秣；粮秣的搜索[征发]v.搜索[征发]粮秣；给(马)吃草料；〔古语〕蹂躏；抢劫
inoculate	v.（给…）接种
variegated	adj.斑驳的；有斑点的；五花八门的；形形色色的
overbearing	adj.专横的；飞扬跋扈的
conceive	v.构想；设想；想象；怀孕
colossal	adj.巨大的；庞大的
hallowed	adj.受崇敬的；神圣（化）的
chauvinism	n.沙文主义
dynamism	n.活力；精力；劲头
inexorable	adj.不可阻挡的；无法改变的
harness	n.马具；挽具；（用于人，起固定或保护作用的）背带v.控制；给（马等）上挽具；用挽具把…套到…上
retroactive	adj.逆动的；反作用的；【法】追溯既往的；补发增加工资的
abjure	v.公开保证放弃
falsify	v.篡改
shelve	v.搁置；把…放在架子（或搁板）上；倾斜；成斜坡
popular	adj.受喜爱的；受欢迎的；当红的；通俗的n.大众音乐会
scathing	adj.严厉批评的；无情抨击的；尖刻地斥责的
mar	v.破坏；毁坏；损毁；损害n.损伤
predicate	v.断言；使基于；使以…为依据；表明adj.述语的；谓项的n.谓语（句子成分，对主语加以陈述，如 John went home 中的 went home）
oasis	n.（沙漠中的）绿洲；（困苦中）令人快慰的地方（或时刻）；乐土；乐事
guarded	adj.谨慎的；有保留的；不明确表态的v.“guard”的过去分词和过去式
redeploy	v.调配；重新部署
condone	v.容忍；纵容
swagger	n.大摇大摆；神气十足v.神气十足地走；大摇大摆地走adj.〈口〉漂亮的
equipoise	n.平衡；均势v.使相称；使平衡；使相持不下
perverse	adj.执拗的；任性的；不通情理的n.【数,医】倒错
apologist	n.（尤指政治或宗教方面的）辩护者
overt	adj.公开的；明显的；不隐瞒的
propitiate	v.使息怒
astringent	adj.（能使皮肤或伤口）收敛的；尖刻的；辛辣的；微苦而清新的n.收敛药
plangent	adj.洪亮的；轰鸣的；哀婉的；凄凉的
recast	v.改写；改动；重组；重新安排（演员阵容）n.改铸；重做；再计算；重新分配角色
infamy	n.臭名昭著；声名狼藉；恶行；罪恶
demonic	adj.恶魔的；魔鬼似的；恶魔般的
liability	n.负债；债务；义务；惹麻烦的人（或事）
stalwart	adj.忠诚的；忠实的；健壮的；强壮的n.（政党等组织的）忠诚拥护者
autocracy	n.专制制度；独裁政体；独裁国家；专制国家
omniscient	adj.无所不知的；全知全能的；博闻广识的n.上帝
entreat	v.恳求；乞求
nudge	n.轻推；(温和的)劝说；讨厌的家伙；【网】(聊天工具的)窗口抖动功能v.用身体的一部分(尤指肘部)轻推；(朝某一方向)逐步推进；劝说
ascendance	n.优势
charismatic	adj.魅力非凡的；有领导力的；能吸引人为之效忠的；【宗】天赐神力的n.有特恩的基督徒
umbrage	n.树阴；叶丛；阴影；不快
impound	v.没收；扣押；收押（待领的狗、猫等）
leery	adj.猜疑的；谨防的；极力躲避的
tether	n.（拴牲畜的）拴绳v.拴（牲畜）
incite	v.煽动；鼓动
observant	adj.善于观察的；观察力敏锐的；谨慎遵守教规和习俗的n.严守者；【天主】(方济各会)严守教规的修道士
establishment	n.建立；确立；机构；创立
trumpet	n.喇叭；小号；喇叭形物；（尤指）绽开的水仙花v.宣扬；鼓吹；吹嘘；吼叫
fledgling	n.（刚会飞的）幼鸟；初出茅庐的人；无经验的组织；新体系
bountiful	adj.大量的；巨大的；慷慨的；大方的
unfazed	adj.未受干扰；不担忧的；泰然自若的v.不打扰
sumptuous	adj.华贵的；豪华的；奢华的
occlude	v.使闭塞；堵塞
badger	v.不断督促；不断催促；纠缠n.【动】獾
dogged	v.跟踪；笼罩在…心头；弄得…狼狈不堪；被…困扰n.【动】犬；【动】雄性的犬科动物；〈口〉(…样的)家伙adj.顽强的；坚持不懈的
acrimony	n.（态度、言辞）尖刻
stigma	n.耻辱；羞耻；（花的）柱头
baleful	adj.威吓的；吓唬的
overturn	v.倾覆；倾倒；翻掉；推翻n.毁灭；推翻；垮台
rampant	adj.泛滥的；猖獗的；疯长的
petty	n.佩蒂；【会】小额；厕所adj.小的；琐碎的；次要的；小气的
pedagogy	n.教育学；教学法
squelch	n.镇压；压碎；〈口〉压倒对方的议论[回答]；反驳得对方不再作声v.发吧唧声；制止；压制；遏制
tangential	adj.稍微沾边的；离题的；不相干的；正切的
prowess	n.非凡的技能；高超的技艺；造诣
topple	v.倒下；打倒；推翻；颠覆
newfangled	adj.新奇怪异的；时髦复杂的
connoisseur	n.鉴赏家；鉴定家；行家
burlesque	adj.滑稽的；戏谑的n.滑稽讽刺表演（或作品）；滑稽娱乐（曾经风靡美国，常伴有脱衣舞）v.(以夸张的模仿手法)讥笑；使滑稽化
appraise	v.估价；估量；（对某人的工作）作出评价
contentment	n.满足；满意；知足；称心
slay	v.杀死；杀害；残害；谋杀
macabre	adj.可怕的
asseverate	v.断言
confiscate	v.（尤指作为惩罚）没收
regurgitate	v.反刍；使（咽下的食物）返回到口中；照搬；拾人牙慧
mandate	v.授权；强制执行；委托办理n.（政府或组织等经选举而获得的）授权；（政府的）任期；委托书；授权令
machination	n.阴谋；诡计
verdant	adj.嫩绿的；碧绿的；青翠的
unprincipled	adj.不道德的
accountable	adj.（对自己的决定、行为）负有责任
egocentric	adj.以自我为中心的；自私自利的n.自我主义者
preempt	v.优先购买；〔建〕预先占用n.〔经〕优先占有
subterranean	adj.地下的
extrapolate	v.推断；推知；判定；推测
decode	v.解（码）；破译（尤指密码）；译解（电子信号）；理解（外文）
apothegm	n.格言
disjunction	n.分离；分裂
bellicose	adj.好争辩的；好斗的；好战的
irk	v.使烦恼；激怒
annul	v.废除；取消；宣告无效
retard	v.阻碍；减缓；使放慢速度n.迟钝的人；弱智
purvey	v.提供
showmanship	n.主持演出的技巧；演艺艺术；善于表演的技能
menace	n.威胁；危险的人（或物）；令人恐怖的氛围；危险气氛v.对…构成危险；危及；威胁到
defunct	adj.已故的；不复存在的；灭绝的；倒闭的n.死者；死人
exigent	adj.紧急的；(生活)艰苦的；苛求的
warble	n.啼啭；颤音；颤音歌唱(法)；唱歌v.（尤指用颤音高声）唱；啭鸣
quip	n.妙语；俏皮话v.讥讽；讲俏皮话；嘲弄；打趣
erroneous	adj.错误的
abomination	n.憎恶；憎恨；令人憎恶的[讨厌的]事物[行为]
rehash	n.(旧东西的)改作；用旧材料改编的作品v.（稍微改动）重新推出；以新形式表达旧内容
gullible	adj.轻信的；易受骗的；易上当的
progeny	n.子孙；幼崽；幼兽；幼苗
crest	n.顶峰；纹章；山顶；波峰v.到达山顶（或浪峰）；到达洪峰；达到顶点
lackadaisical	adj.无精打采的；委靡不振的；懒洋洋的；不热心的
stasis	n.停滞；静止
hone	v.磨练；想念；用磨刀石磨；磨光n.(细)磨刀石；磨孔机
stern	n.艉；〈非正式〉(任何东西的)尾部；英语男子名adj.严厉的；坚定的
embroider	v.刺绣；加以渲染（或润饰）；对…添枝加叶
fiscal	n.财政年度；财政部长；(苏格兰等的)检察官adj.财政的；国库的；国家岁入的
espionage	n.间谍活动；谍报活动；刺探活动
slipshod	adj.马虎的；敷衍了事的
euphoria	n.（通常指持续时间较短的）极度愉快的心情
wistful	adj.伤感的；（对已不可能发生之事）徒然神往的
demonstrable	adj.明显的；可表明的；可论证的；可证明的
decorum	n.礼貌得体；端庄稳重
rote	n.死记硬背
obtuse	adj.迟钝的；愚蠢的；态度勉强的
prophylactic	adj.预防疾病的n.预防性药物（或器具、措施）
circumspect	adj.小心谨慎的；考虑周密的；慎重的
perceive	v.认为；意识到；注意到；察觉到
avatar	n.【计】头像；代表；【印】化身；阿凡达
embitter	v.使怨愤；使沮丧；使苦恼
subservient	adj.恭顺的；驯服的；谄媚的；卑躬屈膝的
complicity	n.共犯；同谋；勾结
liken	v.比作；弄得像…
sedition	n.煽动叛乱的言论（或行动）
allay	v.减轻（尤指情绪）
vestigial	adj.残留的；残余的；退化的
agnostic	adj.【哲】不可知论的n.【哲】不可知论者
annals	n.年鉴；编年史；历史记载
concentric	adj.同心的
coruscate	v.闪耀；闪烁；充满活力；朝气蓬勃
obloquy	n.公开的抨击；公开的谴责；辱骂；耻辱
latent	adj.潜在的；潜伏的；隐藏的n.潜指印
blunt	adj.不锋利的；钝的；嘴直的；直言的n.钝器；短粗的针[雪茄烟等]；现钞v.使减弱；使降低效应；使（尖端、刃）变钝
circumlocution	n.迂回曲折的说法
liberality	n.慷慨；宽容；大方
lithe	adj.优美柔软的；易弯曲的；柔韧性好
malodorous	adj.恶臭的
deter	v.阻止；制止；威慑；使不敢
parasite	n.寄生虫；寄生物；寄生植物；依赖他人过活者
penitent	n.忏悔者；（尤指宗教）悔罪者adj.忏悔的；后悔的；愧疚的
protocol	n.议定书；礼仪；外交礼节；条约草案v.打(草稿)；(把…)记入议定书
lull	v.缓和；使放松；使镇静；（使）减弱n.间歇
irrevocable	adj.无法改变的；不可更改的
curb	v.抑制n.起控制（或限制）作用的事物；（由条石砌成的）路缘
revel	n.狂欢；喧闹的庆典v.狂欢作乐
execute	v.执行；实施；实行；处死
dexterity	n.熟练；灵活
heretical	adj.异教的
flirt	n.与多人调情的人v.调情
devise	v.设计；制定；发明；创造n.【法】遗赠财产的遗嘱(或其中的条款)；【法】遗赠的财产
levity	n.轻浮；轻率的举止；轻佻
bridle	n.马勒；马笼头v.给（马）套笼头；（尤指傲慢地昂首对…）表示恼怒
aristocrat	n.（一个）贵族
overdue	adj.未做的；过期的；早该发生的；早应完成的
brusque	adj.寡言而无礼的
parity	n.（尤指薪金或地位）平等；（两国货币的）平价
altercation	n.口角
collude	v.勾结；密谋；串通
parse	v.（对句子）作语法分析；作句法分析
repugnant	adj.〈正式〉讨厌的
abject	adj.卑鄙的；不幸的；厚颜无耻的；最可怜的
flair	n.天赋；天资；天分；才华
interweave	v.交织；交错编织
impregnable	adj.坚不可摧的；牢不可破的；不可战胜的；难以改变的
discipline	n.纪律；训练；自制力；风纪v.训练；管教；惩罚；处罚
obstruct	v.阻碍；阻塞；阻挡；遮断
cryptic	adj.含义隐晦的；晦涩难懂的
senescence	n.衰老；老年化
advent	n.到来；（基督教）降临节
conciliation	n.调解；安抚；妥协；说服
waggish	adj.诙谐的；打趣的
blatant	adj.明目张胆的；公然的
muckraking	n.探听揭发丑闻；揭发黑幕
painstaking	adj.需细心的；辛苦的；需专注的n.苦干
dyspeptic	adj.消化不良的；患消化不良的；脾气坏的；暴躁的n.消化不良的人
inculcate	v.反复灌输；谆谆教诲
pertain	v.存在；适用
rancor	n.深仇；怨恨
pulverize	v.粉碎；将…磨成粉；彻底击败（或战胜）；摧毁
abstemious	adj.饮食有度的；有节制的
monograph	n.专著；专论；专题文章
vicarious	adj.间接感受到的
prioritize	v.给…排出优先级；优先处理
profiteer	n.(尤指战时的)奸商；(生活必需品的)投机商人v.取得不正当的利益
rowdy	adj.吵闹的；惹是生非的；捣乱的n.凶暴的人；无赖；〈美俚〉钱
decimate	v.大量毁灭；严重破坏；大大削弱
evangelist	n.（基督教）布道者；圣史（写作《圣经》中四福音的人）
solemn	adj.冷峻的；表情严肃的；庄严的；严正的
choleric	adj.易怒的；暴躁的；动辄发怒的
extrovert	n.性格外向者；活泼自信的人v.使成外向性格；变成外向性格adj.外向性的
populism	n.平民政治；民粹主义；民意论
isolationism	n.孤立主义
surmise	n.〈正式〉推测；臆测；揣度；猜度v.〈正式〉猜测；估计；认为
copious	adj.大量的；充裕的；丰富的
egotist	n.自大者
municipality	n.自治市；（市下的）自治区；市（或区）政当局
recommence	v.重新开始；再次开始
exhort	v.规劝；敦促；告诫
crinkle	n.褶痕；皱纹v.（尤指皮肤、布料或纸张）变皱
decrepitude	n.衰老；老朽；破旧
abscond	v.逃走；逃遁；（携款）潜逃
sangfroid	n.镇定；沉着
quibble	v.发牢骚；斤斤计较；吹毛求疵n.牢骚
fringe	n.外围；刘海儿；流苏；额前短垂发adj.边缘的；附加的v.形成…的边缘
limn	v.描画；勾划；描写；生动地叙述
derail	v.（使）脱轨
debase	v.降低…的价值；败坏…的名誉
existential	adj.关于人类存在的；与人类存在有关的；（关于）存在主义的
flatter	v.奉承；讨好；向…谄媚；自命不凡n.【机】平面锤；拉扁钢丝模；敲平的人adj.“flat”的比较级adv.“flat”的比较级
picky	adj.挑剔的；吹毛求疵的；过分讲究的
utopia	n.乌托邦；空想的完美境界
smug	adj.沾沾自喜的；自鸣得意的n.沾沾自喜的人；书呆子
tyro	n.新手；初学者；生手
covet	v.觊觎；渴望；妄想(别人东西)
dilemma	n.（进退两难的）窘境
visionary	n.空想家；有远见的人；有智慧的人；幻想者adj.有远见的；空想的；不切实际的；有想象力的
confute	v.驳倒；驳斥
foolproof	adj.使用简便的；完全可靠的；万无一失的
iterate	v.迭代（数学或计算过程，或一系列指令）
riotous	adj.骚乱的；暴乱的；狂欢的；纵情欢闹的
impressionistic	adj.给人以大致印象的；不精确的；凭印象的
terse	adj.简要的；简短生硬的
enchant	v.使着迷；使陶醉；使着魔；对…施魔法（或念咒语）
sanitize	v.去除…中使人不快的内容；净化；（用化学制剂）消毒
baroque	n.巴罗克建筑型式；巴罗克艺术风格；新奇作品；奇怪的样式adj.巴罗克风格的（17 至 18 世纪早期流行于欧洲，气势雄伟、装饰华丽的特色反映在建筑、绘画和音乐等艺术上）
solipsistic	adj. 唯我论;唯我可知论；
linger	v.徘徊；逗留；流连；磨蹭
predate	v.早于；先于…建成（或形成、发生等）
totem	n.（尤指美洲土著的）图腾；图腾形象
imbue	v.灌输
invoke	v.调用；激活；援引；提及
stalemate	n.僵局；相持；逼和；天子可动v.使相持；使…僵持；拖；使停顿
sinuous	adj.弯曲有致的；蜿蜒的
monopolize	v.垄断；独占；包办；占去（某人的大部分注意力或时间）
finite	adj.有限的；有限制的；限定的n.有限(性)；〈集合词〉有限物
backwater	n.回水；与世隔绝的地区；落后地区v.倒划；〈美口〉放弃原来的立场；食言
patronize	v.屈尊俯就地对待；摆出高人一等的派头；经常光顾；赞助
plebeian	n.平民；下层人；庶民adj.平民的；百姓的；下层社会的；粗俗的
vandalism	n.故意毁坏(公共)财产的行为
foible	n.弱点
sterile	adj.不能生育的；不育的；无菌的；消过毒的
upsurge	v.高涨；增长n.急剧上升；飙升；猛增
commemorate	v.（用…）纪念；作为…的纪念
plaintive	adj.（声音）悲伤的
monumental	adj.重要的；意义深远的；不朽的；非常大（或好、坏、蠢等）的
migratory	adj.迁移的；迁徙的；移栖的
resonate	v.产生共鸣；发出回响；回荡；（使）回响
pretext	n.借口；托辞v.借口
intercept	n.拦截；【数】截距；侦听v.拦截；拦阻；截住
penurious	adj.贫穷的；穷困的；赤贫的
figurative	adj.比喻的；形象的
befuddled	adj.迷糊的；糊涂的
remorse	n.懊悔；非常遗憾；自责
awe	n.敬畏；畏惧；惊叹；惊惧v.〈正式〉使敬畏；使惊奇
squander	n.浪费v.浪费
flammable	adj.易燃的；可燃的
somber	na.“sombre”的变体
artless	adj.天真的；直率的；缺乏艺术性的；拙劣的
schematic	adj.略图的；简表的；严谨的；有章法的n.简图
holistic	adj.整体的；全面的；功能整体性的
stave	v.延缓；给(桶)装板；给…换桶板；拆去…的桶板n.五线谱；棍；棒；木柱
abeyance	n.中止；未定；【法律】(所有权等的)未定；暂时无效
hale	adj.(尤指老人)强壮的n.黑尔(斯)v.强拉
hysteria	n.癔症；歇斯底里；情绪失控；大肆鼓吹
apropos	prep.关于adj.适当的；恰好adv.顺便说一说；恰好
brandish	n.(刀,剑等的)挥舞v.激动地挥舞（尤指武器）
ransack	v.洗劫；（为找东西）把…翻腾得乱七八糟
stall	n.摊位；牲畜棚；马厩；牛棚v.停顿；抛锚；故意拖延（以赢得时间）；拖住（以赢得时间做某事）
concoct	v.调制；虚构
disclosure	n.公开；揭露；透露；透露的秘闻
immolate	v.烧死
agglomeration	n.聚集；堆
coercive	adj.用武力的；强制的；胁迫的
syntactic	adj.句法的
magisterial	adj.权威的；威严的；傲慢的；睿智的
nettle	v.使烦恼；使生气n.荨麻
calibrate	v.校准
vanguard	n.先锋；前卫；尖兵；先头部队
politic	adj.谨慎的；得当的；明智的
wayward	adj.难以控制的；任性的；倔强的
skit	n.幽默讽刺小品（常用模仿手法）
backhand	n.【体】(网球等)反手击球；【体】(棒球)反手接球v.【体】反手接球或击球；以拳背击人；用反手击adv.以反手
fetus	n.胎儿
contrite	adj.深感懊悔的；痛悔的
foolhardy	adj.莽撞的；有勇无谋的
immoderate	adj.极端的；不适度的；不合理的；过度的
hypostatize	v.【哲】把…视为实存；使实体化；把个人的存在归于…；使人格化
testament	n.证据；证明
bourgeoisie	n.中产阶级；(马克思主义用语)资产阶级
bland	adj.平淡的；乏味的；清淡的；无滋味的
testimony	n.证词；证言；证据；证明
exude	v.流露；流出；（感觉或品质）显现；散发出（气味）
schism	n.分裂；宗派活动；（尤指）教会分裂
tussle	n.扭打v.扭打
untangle	v.解开；整理；理清
ample	adj.足够的；丰裕的；丰满的；硕大的
insuperable	adj.无法克服的；不可逾越的
impute	v.把…归咎于；把…归因于；把…转嫁于
encrusted	v.镶嵌；在…上包硬的外层；结壳；以珠宝装饰adj.硬壳覆盖的；形成硬外层的
unsullied	adj.未被玷污的；保持洁净的；纯洁的
dutiable	adj.(货物)应缴税的；(输入品)应课关税的
begrudge	v.嫉妒；对（某人所享有的）感到不满；勉强做；不乐意地做（或付出）
fluke	n.侥幸；偶然；意外v.侥幸做成；意外受挫
clog	v.堵塞；阻塞；妨碍；影响n.木底鞋；木屐；坠子；木鞋
peevish	adj.爱生气的；易怒的；脾气坏的
onset	n.发生
inception	n.（机构、组织等的）开端
draconian	adj.德拉古式的；严酷的；残忍的
discomfit	v.使困惑；使窘迫；使尴尬
plummet	v.暴跌；速降n.测锤(钓丝的)坠子；线锤；铅锤线；锤规
trickster	n.骗子
rapprochement	n.友好关系的恢复；和解
belittle	v.贬低；小看
consort	n.（统治者的）配偶；一组（古乐器）；（演奏几世纪前音乐的）一组乐师v.厮混；鬼混
infuriate	v.激怒；使极为生气；使大怒adj.狂怒的
demeanor	n.态度
sever	v.割断；断绝；切开；切下
saturate	v.浸透；使湿透；使充满；使饱和adj.〈诗〉浸透的；饱和的
beset	v.困扰；威胁
revere	v.尊敬；崇敬n.里维尔；同“revers”
arouse	v.激发；唤醒；激起；激起性欲
anecdote	n.趣闻；逸事；传闻
jockey	v.耍各种手腕获取；运用手段谋取n.（尤指职业的）赛马骑师
scrap	n.小块（纸、布匹等）；丝毫；一丁点；残羹剩饭v.废弃；取消；抛弃；报废
hitch	n.故障；障碍；暂时的困难（或问题）；（某种）结v.搭便车；免费搭车；拉起（衣服）；攀上
pigeonhole	v.将（某人）轻率分类；主观划分（某人）为；搁置；将…束之高阁n.信件格；开口文件格
fealty	n.（尤指对君主的）效忠宣誓
bog	n.沼泽（地区）；〔英口〕户外厕所；浴室v.(使)沉入泥中；停滞不前；受到阻碍
